Local time,Open,High,Low,Close,Volume
19.08.2004 05:00:00.000 GMT+0800,109.310,109.612,109.040,109.340,632229800781.25
20.08.2004 05:00:00.000 GMT+0800,109.302,109.727,108.938,109.083,634094993164.0625
21.08.2004 05:00:00.000 GMT+0800,109.083,109.083,109.083,109.083,0
22.08.2004 05:00:00.000 GMT+0800,109.083,109.083,109.083,109.083,0
23.08.2004 05:00:00.000 GMT+0800,109.167,109.888,109.077,109.790,626215998046.875
24.08.2004 05:00:00.000 GMT+0800,109.802,110.053,109.360,109.590,637735302734.375
25.08.2004 05:00:00.000 GMT+0800,109.565,110.476,109.410,110.143,636040703125
26.08.2004 05:00:00.000 GMT+0800,110.138,110.287,109.266,109.635,631681902343.75
27.08.2004 05:00:00.000 GMT+0800,109.637,109.755,109.002,109.633,634382908203.125
28.08.2004 05:00:00.000 GMT+0800,109.633,109.633,109.633,109.633,0
29.08.2004 05:00:00.000 GMT+0800,109.633,109.633,109.633,109.633,0
30.08.2004 05:00:00.000 GMT+0800,109.771,110.420,109.524,109.839,625934606445.3125
31.08.2004 05:00:00.000 GMT+0800,109.825,110.195,108.734,109.127,618186189453.125
01.09.2004 05:00:00.000 GMT+0800,109.155,109.744,108.939,109.490,620609507812.5
02.09.2004 05:00:00.000 GMT+0800,109.508,109.635,109.222,109.436,628822498046.875
03.09.2004 05:00:00.000 GMT+0800,109.430,110.695,109.104,110.452,626567797851.5625
04.09.2004 05:00:00.000 GMT+0800,110.452,110.452,110.452,110.452,0
05.09.2004 05:00:00.000 GMT+0800,110.452,110.452,110.452,110.452,0
06.09.2004 05:00:00.000 GMT+0800,110.450,110.615,109.929,110.120,627588505859.375
07.09.2004 05:00:00.000 GMT+0800,110.124,110.232,109.222,109.315,620456503906.25
08.09.2004 05:00:00.000 GMT+0800,109.324,109.795,109.058,109.315,616561393554.6875
09.09.2004 05:00:00.000 GMT+0800,109.322,110.001,109.141,109.642,621635596679.6875
10.09.2004 05:00:00.000 GMT+0800,109.642,110.288,109.199,109.637,627674598632.8125
11.09.2004 05:00:00.000 GMT+0800,109.637,109.637,109.637,109.637,0
12.09.2004 05:00:00.000 GMT+0800,109.637,109.637,109.637,109.637,0
13.09.2004 05:00:00.000 GMT+0800,109.593,110.348,109.269,110.000,625371301757.8125
14.09.2004 05:00:00.000 GMT+0800,109.997,110.130,109.334,109.601,628916406250
15.09.2004 05:00:00.000 GMT+0800,109.612,110.377,109.289,109.990,621742600585.9375
16.09.2004 05:00:00.000 GMT+0800,109.995,110.077,109.454,109.551,625567697265.625
17.09.2004 05:00:00.000 GMT+0800,109.540,110.243,109.339,109.775,625230500976.5625
18.09.2004 05:00:00.000 GMT+0800,109.775,109.775,109.775,109.775,0
19.09.2004 05:00:00.000 GMT+0800,109.775,109.775,109.775,109.775,0
20.09.2004 05:00:00.000 GMT+0800,109.760,110.139,109.681,109.851,622085103515.625
21.09.2004 05:00:00.000 GMT+0800,109.843,110.166,109.565,109.620,622085204101.5625
22.09.2004 05:00:00.000 GMT+0800,109.636,110.731,109.583,110.569,621017303710.9375
23.09.2004 05:00:00.000 GMT+0800,110.597,110.895,110.255,110.757,624847291992.1875
24.09.2004 05:00:00.000 GMT+0800,110.758,110.858,110.313,110.590,620822088867.1875
25.09.2004 05:00:00.000 GMT+0800,110.590,110.590,110.590,110.590,0
26.09.2004 05:00:00.000 GMT+0800,110.590,110.590,110.590,110.590,0
27.09.2004 05:00:00.000 GMT+0800,110.575,111.388,110.427,111.249,618626401367.1875
28.09.2004 05:00:00.000 GMT+0800,111.263,111.693,111.125,111.315,626178200195.3125
29.09.2004 05:00:00.000 GMT+0800,111.356,111.394,110.650,110.825,621172904296.875
30.09.2004 05:00:00.000 GMT+0800,110.818,111.228,109.792,109.982,627180605468.75
01.10.2004 05:00:00.000 GMT+0800,110.024,110.575,109.793,110.490,626200190429.6875
02.10.2004 05:00:00.000 GMT+0800,110.490,110.490,110.490,110.490,0
03.10.2004 05:00:00.000 GMT+0800,110.490,110.490,110.490,110.490,0
04.10.2004 05:00:00.000 GMT+0800,110.479,111.189,110.468,110.915,627292191406.25
05.10.2004 05:00:00.000 GMT+0800,110.902,111.337,110.655,111.110,618527306640.625
06.10.2004 05:00:00.000 GMT+0800,111.100,111.449,110.981,111.286,624850998046.875
07.10.2004 05:00:00.000 GMT+0800,111.312,111.427,110.946,111.185,621062896484.375
08.10.2004 05:00:00.000 GMT+0800,111.182,111.250,109.295,109.497,629093597656.25
09.10.2004 05:00:00.000 GMT+0800,109.497,109.497,109.497,109.497,0
10.10.2004 05:00:00.000 GMT+0800,109.497,109.497,109.497,109.497,0
11.10.2004 05:00:00.000 GMT+0800,109.460,109.581,109.115,109.337,620911901367.1875
12.10.2004 05:00:00.000 GMT+0800,109.313,110.086,109.206,109.657,623910011718.75
13.10.2004 05:00:00.000 GMT+0800,109.647,110.179,109.389,109.714,619897602539.0625
14.10.2004 05:00:00.000 GMT+0800,109.723,109.835,109.132,109.641,631277595703.125
15.10.2004 05:00:00.000 GMT+0800,109.648,109.678,108.793,109.271,621763987304.6875
16.10.2004 05:00:00.000 GMT+0800,109.271,109.271,109.271,109.271,0
17.10.2004 05:00:00.000 GMT+0800,109.271,109.271,109.271,109.271,0
18.10.2004 05:00:00.000 GMT+0800,109.231,109.571,109.077,109.231,619165506835.9375
19.10.2004 05:00:00.000 GMT+0800,109.224,109.434,108.245,108.326,625082002929.6875
20.10.2004 05:00:00.000 GMT+0800,108.328,108.673,108.105,108.206,626232392578.125
